ProfileID SiteID ActionTime ActionID EmailID
7847078387601321400 94 1593371008 3 26671
6728657524697537800 94 1593371105 3 30364
6728657524697537800 94 1593394075 3 19506
7847078387601321400 73 1593368089 3 15878
7847078387601321400 94 1593357448 3 32212
7847078387601321400 94 1593348516 3 32206
6712545061984490778 94 1593401768 3 26213
7847078387601321400 73 1593368308 4 15878
7847078387601321400 73 1593368331 5 15878
7847078387601321400 73 1593368336 5 15878
7847078387601321400 94 1593368373 3 17384
7847078387601321400 94 1593368414 3 28970
7847078387601321400 73 1593352756 4 33150
7847078387601321400 73 1593352760 3 15507
7847078387601321400 73 1593352764 4 33150
7847078387601321400 73 1593352768 3 15876
7847078387601321400 73 1593352790 5 33150
7847078387601321400 73 1593352854 3 25352
7847078387601321400 94 1593339421 3 16328
7847078387601321400 94 1593339425 3 31473
7847078387601321400 94 1593339465 3 32207
7847078387601321400 94 1593390574 3 32098
6712545061984490778 56 1593344254 6 27549
7847078387601321400 94 1593348642 3 31471
7847078387601321400 73 1593368480 3 25349
7847078387601321400 94 1593402064 3 31253
6728657524697537800 94 1593402079 3 31863
7847078387601321400 73 1593353111 3 24615
6728657524697537800 94 1593374651 3 29102
7847078387601321400 73 1593357858 3 20734
7847078387601321400 73 1593363628 3 20521
7847078387601321400 94 1593371537 3 26659
7847078387601321400 94 1593344754 3 25280
7847078387601321400 73 1593349205 3 30578
7847078387601321400 94 1593371711 3 31245
6728657524697537800 94 1593402313 3 31195
7847078387601321400 73 1593399102 3 13301
6728657524697537800 94 1593387761 3 19922
6728657524697537800 94 1593387884 3 23758
6728657524697537800 94 1593369115 3 32061
6728657524697537800 94 1593391069 3 18246
7847078387601321400 73 1593391107 3 12495
7847078387601321400 73 1593378420 3 31231
6728657524697537800 94 1593378557 3 26255
7847078387601321400 73 1593375356 3 31897
7847078387601321400 73 1593375389 4 15878
7847078387601321400 73 1593358820 3 14507
6728657524697537800 94 1593399185 3 30671
7847078387601321400 94 1593399199 3 23800
7847078387601321400 73 1593387984 3 23954
6728657524697537800 94 1593391313 3 16349
7847078387601321400 94 1593364140 3 18246
7847078387601321400 73 1593364256 4 20521
7847078387601321400 73 1593364276 5 20521
7847078387601321400 73 1593364276 5 20521
6712545061984490778 56 1593340637 6 21584
7847078387601321400 94 1593391395 3 26264
6728657524697537800 94 1593391435 3 17384
6728657524697537800 94 1593359260 3 29361
6728657524697537800 94 1593402914 3 32098
7847078387601321400 73 1593378962 3 31215
7847078387601321400 94 1593354012 3 31476
7847078387601321400 73 1593354137 3 23077
7847078387601321400 73 1593394718 3 16920
6728657524697537800 94 1593399675 3 28084
7847078387601321400 94 1593345607 3 24815
7847078387601321400 73 1593391680 4 26195
7847078387601321400 73 1593349984 3 29047
7847078387601321400 94 1593334250 3 30439
6728657524697537800 94 1593372310 3 29508
6728657524697537800 94 1593372426 3 29507
6728657524697537800 94 1593403043 3 32205
7847078387601321400 94 1593330677 3 32210
6728657524697537800 94 1593394922 3 23399
7847078387601321400 94 1593350223 3 31474
6712545061984490778 56 1593372585 6 30088
7847078387601321400 73 1593345957 3 33150
6728657524697537800 94 1593369723 3 31253
6728657524697537800 94 1593395157 3 26671
7847078387601321400 73 1593376559 3 31885
7847078387601321400 73 1593376617 3 31821
7847078387601321400 73 1593403437 3 24615
7847078387601321400 94 1593369915 3 31195
7847078387601321400 73 1593395379 3 15274
6728657524697537800 94 1593395396 3 25314
6712545061984490778 94 1593383158 3 19872
7847078387601321400 73 1593383230 3 26808
7847078387601321400 94 1593341421 3 16327
7847078387601321400 94 1593372765 3 31863
7847078387601321400 73 1593399869 4 13294
7847078387601321400 73 1593399869 4 12495
7847078387601321400 73 1593400309 3 16928
6712545061984490778 94 1593403655 3 19245
7847078387601321400 73 1593403674 3 23707
7847078387601321400 73 1593403736 3 17934
7847078387601321400 94 1593341568 3 30429
7847078387601321400 94 1593395450 3 32205
